YEAR,MONTH,TOTAL_SALES
2018,1,129753.6
2018,2,140836.19000000003
2018,3,155809.31999999998
2018,4,201609.55000000002
2018,5,192673.11
2018,6,168082.55999999997
2018,7,187731.87999999998
2018,8,197809.3
2018,9,263973.36
2018,10,448452.9500000002
2018,11,1029837.6600000001
2018,12,236444.58000000002
2019,1,292688.1
2019,2,311419.5299999999
2019,3,205733.72999999992
2019,4,206148.12000000008
2019,5,273438.3900000001
2019,6,286674.22
2019,7,327144.0899999998
2019,8,461501.2700000001
2019,9,320750.91000000003
2019,10,552924.25
2019,11,1058699.2900000003
2019,12,372802.6599999999
2020,1,339543.42
2020,2,303982.5600000001
2020,3,374262.7599999999
2020,4,261633.29000000007
2020,5,457861.05999999965
